City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Santa Isabel,BR,89.17,Clouds : overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
144,La Macarena,CO,89.55,Clouds : broken clouds,2.1837,-73.7849,Hotel Punto Verde
153,Mogadishu,SO,77.45,Clouds : broken clouds,2.0371,45.3438,Hotel Juba
154,Vaitape,PF,80.89,Clouds : few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
157,Banda Aceh,ID,79.45,Rain : moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
158,Conde,BR,85.46,Clouds : broken clouds,-7.2597,-34.9075,Pousada Beija Flor
160,Vila Velha,BR,84.15,Clouds : scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
163,Bambous Virieux,MU,80.22,Rain : light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
165,Ambam,CM,81.05,Clouds : broken clouds,2.3833,11.2833,Escapade De La Vallée
170,Kulhudhuffushi,MV,80.55,Clouds : broken clouds,6.6221,73.07,Haajy Guest House 1
171,Gusau,NG,77.04,Clouds : scattered clouds,12.1628,6.6614,GUEST INN
174,Kavieng,PG,80.92,Rain : light rain,-2.5744,150.7967,Nusa Island Retreat
176,Monrovia,LR,87.57,Clouds : few clouds,6.3005,-10.7969,Sunset Inn
178,Georgetown,MY,81.9,Clouds : few clouds,5.4112,100.3354,Cititel Penang
180,Colesberg,ZA,76.42,Clouds : scattered clouds,-30.72,25.0972,Bhelekazi Guesthouse
189,Rio Brilhante,BR,84.88,Clouds : overcast clouds,-21.8019,-54.5464,Hotel Cattani
204,Concordia,AR,88.57,Clear : clear sky,-31.393,-58.0209,Palmar Hotel Casino
208,Arroyos Y Esteros,PY,82.15,Clouds : overcast clouds,-25.0667,-57.1,GPM
210,La Orilla,MX,82.36,Clear : clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
220,Souillac,MU,80.37,Rain : light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
222,Biak,ID,75.9,Clouds : overcast clouds,-0.9131,122.8766,Penginapan Kim
227,Union De Tula,MX,76.77,Clouds : scattered clouds,19.9667,-104.2667,Hotel San Gabriel
228,Sweetwater,US,82.02,Clouds : broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
230,Sarh,TD,87.71,Clear : clear sky,9.1429,18.3923,Domicile 1sur le goudron
232,Rocha,UY,76.57,Clouds : broken clouds,-34.4833,-54.3333,Hotel Arrarte
236,La Reforma,MX,76.75,Clouds : scattered clouds,25.0833,-108.05,Hotel Reforma
244,Karratha,AU,84.69,Clouds : broken clouds,-20.7377,116.8463,ibis Styles Karratha
247,Bongor,TD,79.65,Clouds : overcast clouds,10.2806,15.3722,Oryx Palace
253,San Blas,MX,82.29,Clouds : broken clouds,21.5167,-105.2667,Hotel Posada del Rey
259,Lazaro Cardenas,MX,82.06,Clear : clear sky,17.9583,-102.2,quinta antigua
261,Manta,EC,82.18,Clouds : broken clouds,-0.95,-80.7333,Balandra Hotel
265,Inhambane,MZ,80.58,Clouds : scattered clouds,-23.865,35.3833,Oceano
266,Neiafu,TO,77.68,Clouds : overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
270,Alofi,NU,75.09,Clouds : overcast clouds,-19.0595,-169.9187,Taloa Heights
272,Bubaque,GW,78.94,Clear : clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
277,Betare Oya,CM,79.41,Clouds : broken clouds,5.6,14.0833,Auberge Tembina Betaré Oya
278,Eirunepe,BR,84.4,Clouds : overcast clouds,-6.6603,-69.8736,Atrás de você
283,Ouesso,CG,79.34,Clouds : broken clouds,1.6136,16.0517,ABENIE Hotel
284,Samarai,PG,80.44,Clouds : overcast clouds,-10.6167,150.6667,Nuli Sapi
288,Porto Velho,BR,84.25,Clouds : broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
296,Sabang,ID,80.96,Clouds : overcast clouds,5.8933,95.3214,Hotel Citra
301,Hambantota,LK,75.36,Clear : clear sky,6.1241,81.1185,Bungalow 63
