City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Caucaia,BR,-3.7361,-38.6531,85.95,68,40,17.27,Clouds : scattered clouds
106,Saryg-Sep,RU,51.5,95.6,-18.99,99,66,3.0,Clouds : broken clouds
107,Noumea,NC,-22.2763,166.4572,76.98,88,83,8.75,Rain : moderate rain
108,Avarua,CK,-21.2078,-159.775,78.85,83,40,6.91,Clouds : scattered clouds
109,Yumen,CN,40.2833,97.2,15.39,37,100,13.29,Clouds : overcast clouds
110,Zhigansk,RU,66.7697,123.3711,-29.52,100,100,6.38,Clouds : overcast clouds
111,Bethel,US,41.3712,-73.414,27.05,70,75,5.01,Clouds : broken clouds
112,Groton,US,41.3501,-72.0784,26.78,59,0,3.0,Clear : clear sky
113,Bluff,NZ,-46.6,168.3333,50.81,80,47,12.41,Clouds : scattered clouds
114,Xian,CN,34.2583,108.9286,34.61,41,97,3.51,Clouds : overcast clouds
115,Vao,NC,-22.6667,167.4833,79.7,87,99,14.05,Clouds : overcast clouds
116,Port Blair,IN,11.6667,92.75,80.64,78,20,4.61,Mist : mist
117,Port Alfred,ZA,-33.5906,26.891,70.36,83,99,25.28,Rain : light rain
118,Mercedes,AR,-34.6515,-59.4307,72.52,53,90,15.55,Clouds : overcast clouds
119,Mahebourg,MU,-20.4081,57.7,80.26,89,75,14.97,Rain : light intensity shower rain
120,Moratuwa,LK,6.773,79.8816,77.02,79,9,2.19,Clear : clear sky
121,Hutchinson,US,38.0608,-97.9298,38.03,51,0,3.0,Clear : clear sky
122,Ahipara,NZ,-35.1667,173.1667,71.02,98,98,6.4,Clouds : overcast clouds
123,Pakala,IN,13.4667,79.1167,69.57,93,53,2.93,Clouds : broken clouds
124,Mar Del Plata,AR,-38.0023,-57.5575,67.08,89,100,5.99,Rain : moderate rain
125,Norman Wells,CA,65.282,-126.8329,-9.99,92,95,6.15,Clouds : overcast clouds
126,Ancud,CL,-41.8697,-73.8203,72.23,58,4,7.78,Clear : clear sky
127,Beloha,MG,-25.1667,45.05,75.94,84,100,19.01,Clouds : overcast clouds
128,Makakilo City,US,21.3469,-158.0858,67.6,84,0,3.44,Clear : clear sky
129,Ribeira Grande,PT,38.5167,-28.7,63.0,67,75,10.36,Clouds : broken clouds
130,Priiskovyy,RU,51.9333,116.6333,-18.24,100,84,2.39,Clouds : broken clouds
131,Lebu,CL,-37.6167,-73.65,64.35,67,0,19.86,Clear : clear sky
132,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.55,66,99,2.68,Clouds : overcast clouds
133,Fortuna,US,40.5982,-124.1573,49.93,89,0,3.0,Clear : clear sky
134,Svetlogorsk,BY,52.6333,29.7333,34.21,84,100,15.95,Clouds : overcast clouds
135,Hithadhoo,MV,-0.6,73.0833,82.6,73,100,13.91,Clouds : overcast clouds
136,Ust-Maya,RU,60.4167,134.5333,-25.91,100,100,0.34,Clouds : overcast clouds
137,Santa Isabel,BR,-23.3156,-46.2214,89.17,87,100,8.81,Clouds : overcast clouds
138,Vila,PT,42.0304,-8.1588,49.33,66,18,5.08,Clouds : few clouds
139,Terney,RU,45.0503,136.6092,2.68,80,50,12.93,Clouds : scattered clouds
140,Nikolskoye,RU,59.7035,30.7861,24.87,93,100,10.94,Snow : snow
141,Nelson Bay,AU,-32.7167,152.15,71.01,67,98,3.0,Clouds : overcast clouds
142,Dinar,TR,38.065,30.1656,33.58,72,17,3.78,Clouds : few clouds
143,Oskarshamn,SE,57.2645,16.4484,37.98,73,58,13.91,Clouds : broken clouds
144,La Macarena,CO,2.1837,-73.7849,89.55,44,73,5.1,Clouds : broken clouds
145,Tasiilaq,GL,65.6145,-37.6368,26.76,59,100,9.75,Clouds : overcast clouds
146,Karaj,IR,35.8355,51.0103,39.72,60,20,13.8,Clouds : few clouds
147,Nantucket,US,41.2835,-70.0995,26.1,77,96,25.37,Clouds : overcast clouds
148,Padang,ID,-0.9492,100.3543,74.57,94,100,1.43,Rain : moderate rain
149,Port Hawkesbury,CA,45.6169,-61.3485,30.87,98,100,13.8,Fog : fog
150,Yellowknife,CA,62.456,-114.3525,-12.59,83,75,6.91,Clouds : broken clouds
151,San Quintin,MX,30.4833,-115.95,62.01,23,0,3.38,Clear : clear sky
152,Muros,ES,42.7762,-9.0603,55.69,65,9,14.74,Clear : clear sky
153,Mogadishu,SO,2.0371,45.3438,77.45,82,51,17.27,Clouds : broken clouds
154,Vaitape,PF,-16.5167,-151.75,80.89,72,11,18.16,Clouds : few clouds
155,Namibe,AO,-15.1961,12.1522,74.73,68,28,12.33,Clouds : scattered clouds
156,Leduc,CA,53.2668,-113.552,34.48,89,100,10.36,Clouds : overcast clouds
157,Banda Aceh,ID,5.5577,95.3222,79.45,78,86,4.09,Rain : moderate rain
158,Conde,BR,-7.2597,-34.9075,85.46,62,75,11.5,Clouds : broken clouds
159,Abu Samrah,SY,35.3029,37.1841,45.45,79,3,8.34,Clear : clear sky
160,Vila Velha,BR,-20.3297,-40.2925,84.15,74,40,13.0,Clouds : scattered clouds
161,Ocos,GT,14.5094,-92.1933,91.9,56,1,10.33,Clear : clear sky
162,Nioro,GM,13.35,-15.75,99.73,6,0,5.88,Clear : clear sky
163,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,14.97,Rain : light intensity shower rain
164,Krosno,PL,49.6887,21.7706,36.05,100,41,12.37,Clouds : scattered clouds
165,Ambam,CM,2.3833,11.2833,81.05,50,70,6.73,Clouds : broken clouds
166,Okha,RU,53.5739,142.9478,3.81,92,100,20.6,Clouds : overcast clouds
167,Amapa,BR,1.0,-52.0,79.23,92,93,3.87,Rain : heavy intensity rain
